,City,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
500,mandalgovi,45.76,106.27,60.1,55,5,23.98
501,delemont,47.36,7.34,85.75,54,0,2.24
502,chauk,20.88,94.82,83.1,75,99,8.88
503,kambove,-10.88,26.6,62.83,49,0,5.35
504,tutoia,-2.76,-42.27,84.83,55,91,9.93
505,touros,-5.2,-35.46,80.6,69,75,14.99
506,babati,-4.22,35.75,60.98,76,10,3.36
507,graaff-reinet,-32.25,24.53,55.56,33,0,2.15
508,noumea,-22.28,166.46,69.84,93,75,2.24
509,pilot butte,50.47,-104.42,74.37,53,75,12.75
510,atar,20.52,-13.05,98.6,31,63,5.91
511,valenca do piaui,-6.41,-41.75,89.82,30,15,10.69
512,natchez,31.56,-91.4,88.72,66,40,9.17
513,denpasar,-8.65,115.22,75.2,100,75,5.82
514,loikaw,19.67,97.21,69.93,92,100,3.27
515,madaoua,14.07,5.96,90.09,47,0,10.56
516,malindi,-3.22,40.12,77.0,83,40,17.22
517,along,28.17,94.77,73.09,89,100,1.54
518,bonito,-21.12,-56.48,87.12,30,29,8.52
519,saint anthony,45.02,-93.22,81.68,37,75,4.7
520,high prairie,55.43,-116.49,76.39,53,0,9.46
521,high rock,26.62,-78.28,95.0,50,20,12.75
522,raudeberg,61.99,5.14,64.06,72,96,5.82
523,kununurra,-15.77,128.73,60.8,30,0,6.93
524,mogadishu,2.04,45.34,77.99,78,51,21.72
525,mecca,21.43,39.83,90.81,54,81,11.12
526,viedma,-40.81,-63.0,62.01,41,43,7.0
527,tomatlan,19.93,-105.25,93.51,46,1,7.9
528,lyuban,52.8,28.0,55.17,94,17,7.94
529,bonavista,48.65,-53.11,59.0,75,100,1.01
530,hirara,24.8,125.28,84.79,79,22,16.17
531,russell,32.35,-85.2,91.62,59,75,5.82
532,burns lake,54.23,-125.75,83.44,33,0,6.73
533,hakkari,37.58,44.17,63.91,52,0,3.91
534,marzuq,14.4,46.47,80.91,61,100,7.65
535,villaviciosa,43.48,-5.44,70.68,73,100,1.79
536,padang,-0.95,100.35,76.75,78,74,4.0
537,matam,15.62,-13.33,93.2,59,20,4.7
538,la seyne-sur-mer,43.1,5.88,82.83,65,0,7.0
539,palu,-0.89,119.87,75.47,82,100,2.35
540,talmenka,53.82,83.57,60.8,77,70,8.95
541,tamworth,52.63,-1.7,76.87,53,97,10.29
542,perth,-31.93,115.83,48.34,93,0,6.93
543,yabrud,33.97,36.66,79.86,19,0,8.05
544,paraiso,9.84,-83.87,82.69,40,75,6.93
545,veraval,20.9,70.37,84.25,82,100,10.22
546,novyy urgal,51.07,132.56,65.34,96,100,3.67
547,tongren,27.72,109.19,75.99,88,29,1.45
